"Update Quote","Update Quote"
"Delete Quote","Delete Quote"
"Edit quote '%1'","Edit quote '%1'"
"New Quote","New Quote"
"Manage quotes","Manage quotes"
"Manage Quotes","Manage Quotes"
"General Information","General Information"
"Quote Price","Quote Price"
"Quote Quantity","Quote Quantity"
"Product Id","Product Id"
"Product Name","Product Name"
Status,Status
Unapproved,Unapproved
Approved,Approved
Declined,Declined
Sender,Sender
Receiver,Receiver
Conversation,Conversation
Attachments,Attachments
"Created At","Created At"
"Manage Quotes Information","Manage Quotes Information"
"Quote Manager","Quote Manager"
"Quote Conversation","Quote Conversation"
Admin,Admin
"Choose an Option...","Choose an Option..."
Name,Name
SKU,SKU
Price,Price
Action,Action
"Add Quote","Add Quote"
"Sorry some error occured!!!","Sorry some error occured!!!"
"Sorry!! Quote can't be saved.","Sorry!! Quote can't be saved."
"Sorry!! Quantity of this product in stock is zero.","Sorry!! Quantity of this product in stock is zero."
"Your Quote has been successfully sent","Your Quote has been successfully sent"
"""Sorry you are not allowed to quote such a low quantity for "" .","""Sorry you are not allowed to quote such a low quantity for1 "" ."
"Quote Quantity can contain only integer value","Quote Quantity can contain only integer value"
"Quote Price can contain only decimal or integer value","Quote Price can contain only decimal or integer value"
"Please enter the quote description","Please enter the quote description"
"Quote is successfully deleted.","Quote is successfully deleted."
"Something went wrong while Deleting the data.","Something went wrong while Deleting the data."
"This quote no longer exists.","This quote no longer exists."
"Edit Quote","Edit Quote"
"View Quote","View Quote"
"Can not update Quote(s) Status to sold.","Can not update Quote(s) Status to sold."
"Quote Status is updated by admin.","Quote Status is updated by admin."
"A Total of %1 record(s) successfully updated.","A Total of %1 record(s) successfully updated."
"Something went wrong while Updating the data.","Something went wrong while Updating the data."
"Quote id %1 Already has been sold","Quote id %1 Already has been sold"
"Can not update status for quote id %1","Can not update status for quote id %1"
"Requested quantity is not available for quote id %1.","Requested quantity is not available for quote id %1."
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"Quote is not exists.","Quote is not exists."
"Quote successfully Updated","Quote successfully Updated"
"Quote Already has been sold","Quote Already has been sold"
"Not Allowed to update.","Not Allowed to update."
"Sorry!! Quote Quantity should not be less than %1.","Sorry!! Quote Quantity should not be less than %1."
"Sorry!! This much product quantity is not available","Sorry!! This much product quantity is not available"
"Select Customer","Select Customer"
"Quote does not exists, please contact to admin.","Quote does not exists, please contact to admin."
"A Quote item of same product is already added in cart.","A Quote item of same product is already added in cart."
"Quote Product is added into cart","Quote Product is added into cart"
"Out of stock","Out of stock"
"You are not allowed to delete the quotes of other.","You are not allowed to delete the quotes of other."
"Quote Does Not exists.","Quote Does Not exists."
"Sorry this page is not available","Sorry this page is not available"
"My Quotes","My Quotes"
"Quotes are successfully deleted.","Quotes are successfully deleted."
"Please select checkbox first.","Please select checkbox first."
"Quote Successfully updated","Quote Successfully updated"
"Sorry!! Quote Status Changed previously","Sorry!! Quote Status Changed previously"
"Message Sent Successfully","Message Sent Successfully"
"Something Went Wrong, Please try again later.","Something Went Wrong, Please try again later."
Links,Links
"%1 is not a valid image file","%1 is not a valid image file"
"%1 is not a valid pdf file","%1 is not a valid pdf file"
"%1 is not a valid doc file","%1 is not a valid doc file"
"Thanks for your quote, will contact you soon.","Thanks for your quote, will contact you soon."
"New Quote has been created Please Check.","New Quote has been created Please Check."
"Status for <a href='%1'>%2</a> has been changed now.","Status for <a href='%1'>%2</a> has been changed now."
"Status changed successfully.","Status changed successfully."
"Your Message send successfully.","Your Message send successfully."
"A New Message for quoted product: <a href='%1'>%2</a>","A New Message for quoted product: <a href='%1'>%2</a>"
"A New Message for quoted product: <a href='%1'>%2</a><br/>Quote Link:  <a href='%3'>Click</a>","A New Message for quoted product: <a href='%1'>%2</a><br/>Quote Link:  <a href='%3'>Click</a>"
"You just Edited your previous quote, details are below.","You just Edited your previous quote, details are below."
"Customer just Edited his/her quote, details are below.","Customer just Edited his/her quote, details are below."
"Admin just Edited a quote, details are below.","Admin just Edited a quote, details are below."
"You just Edited a quote, details are below.","You just Edited a quote, details are below."
Enable,Enable
Disable,Disable
Select,Select
Yes,Yes
No,No
"Quote Id required","Quote Id required"
"Requested entity doesn't exist","Requested entity doesn't exist"
"Unable to remove quote %1","Unable to remove quote %1"
"You can't edit quote items","You can't edit quote items"
